1	0	819
2	819	1407
3	2226	827
4	3053	1482
5	4535	815
6	5350	828
7	6178	1423
8	7601	1431
9	9032	1535
10	10567	1547
11	12114	873
12	12987	1491
13	14478	876
14	15354	1499
15	16853	1402
16	18255	864
17	19119	1427
18	20546	865
19	21411	870
20	22281	1512
21	23793	1510
22	25303	1471
23	26774	814
24	27588	833
25	28421	1429
26	29850	865
27	30715	1425
28	32140	1407
29	33547	1441
30	34988	1423
31	36411	1415
32	37826	816
33	38642	1476
34	40118	1485
35	41603	1359
36	42962	1454
37	44416	1500
38	45916	817
39	46733	1464
40	48197	1686
41	49883	1414
42	51297	1472
43	52769	1442
44	54211	1430
45	55641	1370
46	57011	1377
47	58388	881
48	59269	1515
49	60784	830
50	61614	823
51	62437	849
52	63286	812
53	64098	1534
54	65632	822
55	66454	823
56	67277	1556
57	68833	811
58	69644	1463
59	71107	1452
60	72559	828
61	73387	4462
62	77849	11831
63	89680	13904
64	103584	3583
65	107167	1706
66	108873	609
67	109482	13924
68	123406	13449
69	136855	7537
70	144392	29569
71	173961	11146
72	185107	12665
73	197772	1200
74	198972	5647
75	204619	4150
76	208769	5181
77	213950	18816
78	232766	5520
79	238286	5421
80	243707	17797
81	261504	11128
82	272632	3372
83	276004	7827
84	283831	5369
85	289200	11546
86	300746	5220
87	305966	16195
88	322161	8038
89	330199	11434
90	341633	19991
91	361624	9238
92	370862	18432
93	389294	2257
94	391551	13021
95	404572	10750
96	415322	6980
97	422302	24113
98	446415	24086
99	470501	7380
100	477881	12595
101	490476	16357
102	506833	5335
103	512168	2311
104	514479	4284
105	518763	8604
106	527367	12567
107	539934	3007
108	542941	9141
109	552082	4458
110	556540	12617
111	569157	10190
112	579347	5420
113	584767	1959
114	586726	6974
115	593700	6441
116	600141	3945
117	604086	7844
118	611930	14085
119	626015	4552
120	630567	5640
121	636207	2125
122	638332	4168
123	642500	3897
124	646397	2859
125	649256	3130
126	652386	9388
127	661774	4569
128	666343	2885
129	669228	2381
130	671609	9637
131	681246	4701
132	685947	6062
133	692009	7133
134	699142	5267
135	704409	3594
136	708003	3731
137	711734	17363
138	729097	2397
139	731494	4428
140	735922	5855
141	741777	2495
142	744272	6475
143	750747	3576
144	754323	4918
145	759241	16104
146	775345	2573
147	777918	3205
148	781123	5185
149	786308	8957
150	795265	7047
151	802312	8783
152	811095	21618
153	832713	17851
154	850564	5381
155	855945	5083
156	861028	3956
157	864984	7029
158	872013	5860
159	877873	2695
160	880568	5040
161	885608	10050
162	895658	4490
163	900148	4634
164	904782	8057
165	912839	5598
166	918437	2398
167	920835	4461
168	925296	8179
169	933475	3923
170	937398	11533
171	948931	8880
172	957811	3941
173	961752	1901
174	963653	3984
175	967637	4396
176	972033	3485
177	975518	5497
178	981015	15794
179	996809	31767
180	1028576	11796
181	1040372	2816
182	1043188	3535
183	1046723	2194
184	1048917	4108
185	1053025	3571
186	1056596	2482
187	1059078	9570
188	1068648	2622
189	1071270	2927
190	1074197	4144
191	1078341	3559
192	1081900	2897
193	1084797	13620
194	1098417	3387
195	1101804	978
196	1102782	3023
197	1105805	4320
198	1110125	3243
199	1113368	9880
200	1123248	7694
201	1130942	5956
202	1136898	8268
203	1145166	26669
204	1171835	12008
205	1183843	15362
206	1199205	40215
207	1239420	32908
208	1272328	4951
209	1277279	15289
210	1292568	23279
211	1315847	4811
212	1320658	8197
213	1328855	10039
214	1338894	1304
215	1340198	7511
216	1347709	16477
217	1364186	6771
218	1370957	8756
219	1379713	5359
220	1385072	2689
221	1387761	1433
222	1389194	3831
223	1393025	3722
224	1396747	1500
225	1398247	9737
226	1407984	12153
227	1420137	8348
228	1428485	3526
229	1432011	4873
230	1436884	2091
231	1438975	2836
232	1441811	3184
233	1444995	24379
234	1469374	2013
235	1471387	2947
236	1474334	1153
237	1475487	2170
238	1477657	17666
239	1495323	14928
240	1510251	3836
241	1514087	4463
242	1518550	11832
243	1530382	13905
